family,seed,original_mean,groupopt_mean,original_minus_groupopt,relative_improvement_percent,paired_ci95_low,paired_ci95_high,groupopt_win_rate,test_size
am,1234,6.429762303733826,6.100637643575668,0.32912466015815733,5.11876869798175,0.32210743807925774,0.33614188223705693,0.8226,10000
am,4321,6.431000649642944,6.1098423369407655,0.3211583127021789,4.993908882904716,0.3142151759389369,0.32810144946542097,0.8189,10000
am,2468,6.444314811134339,6.097299335813522,0.34701547532081606,5.384831211554884,0.3401972970821008,0.35383365355953134,0.8448,10000
ptrnet,1234,6.703189909696579,6.268558910274505,0.43463099942207334,6.483942798537645,0.4272153351200682,0.44204666372407847,0.8757,10000
ptrnet,4321,6.856542768383026,6.309463957309723,0.5470788110733033,7.978930921221695,0.5391114416558447,0.5550461804907618,0.9096,10000
ptrnet,2468,6.665591966152191,6.277210434007644,0.3883815321445465,5.826662269709037,0.38074507303867094,0.3960179912504221,0.8396,10000
gpn,1234,6.2988185018062595,6.1960218591213225,0.10279664268493652,1.6319988051006453,0.09656828306179877,0.10902500230807427,0.6268,10000
gpn,4321,6.300629401493072,6.261102025699615,0.03952737579345703,0.6273559873889767,0.03301267046108624,0.046042081125827826,0.5468,10000
gpn,2468,6.308195862340927,6.247090482473373,0.06110537986755371,0.9686664967450446,0.05452646169551881,0.06768429803958861,0.5712,10000
pomo,1234,5.975256043529511,6.0282131316185,-0.05295708808898926,-0.886273118728284,-0.056562643773225216,-0.049351532404753304,0.3908,10000
pomo,4321,6.055247212266922,5.973662488126755,0.08158472414016724,1.3473392791443786,0.07793190309677903,0.08523754518355545,0.6769,10000
pomo,2468,6.081378970432281,5.984937326669693,0.0964416437625885,1.585851568065214,0.0926085097485753,0.1002747777766017,0.6872,10000
