graph_size,family,train_seed,original_mean,groupopt_mean,original_minus_groupopt,relative_improvement_percent,paired_ci95_low,paired_ci95_high,groupopt_win_rate,test_size
20,am,1234,3.9778026443481447,3.960436729884148,0.017365914463996886,0.43657053948292834,0.013676657903392344,0.02105517102460143,0.5012,10000
20,am,4321,3.9616157927274704,3.921089404177666,0.040526388549804684,1.0229762468183041,0.03768079661810048,0.043371980481508886,0.5758,10000
20,am,2468,3.948947090625763,3.9264369336605074,0.022510156965255736,0.5700293381669164,0.019836209559809068,0.025184104370702405,0.5242,10000
20,pomo,1234,3.8630505489110947,3.8797359302997587,-0.016685381388664246,-0.43192241927477426,-0.017960563434597326,-0.015410199342731166,0.3019,10000
20,pomo,4321,3.859970878648758,3.876694280171394,-0.016723401522636412,-0.43325201273255964,-0.017899195991084593,-0.015547607054188234,0.2928,10000
20,pomo,2468,3.8565185517311096,3.875461793923378,-0.01894324219226837,-0.49120059810849737,-0.020072001743622166,-0.017814482640914574,0.2516,10000
50,am,1234,6.429762303733826,6.100637643575668,0.32912466015815733,5.11876869798175,0.32210743807925774,0.33614188223705693,0.8226,10000
50,am,4321,6.431000649642944,6.1098423369407655,0.3211583127021789,4.993908882904716,0.3142151759389369,0.32810144946542097,0.8189,10000
50,am,2468,6.444314811134339,6.097299335813522,0.34701547532081606,5.384831211554884,0.3401972970821008,0.35383365355953134,0.8448,10000
50,pomo,1234,5.975256043529511,6.0282131316185,-0.05295708808898926,-0.886273118728284,-0.056562643773225216,-0.049351532404753304,0.3908,10000
50,pomo,4321,6.055247212266922,5.973662488126755,0.08158472414016724,1.3473392791443786,0.07793190309677903,0.08523754518355545,0.6769,10000
50,pomo,2468,6.081378970432281,5.984937326669693,0.0964416437625885,1.585851568065214,0.0926085097485753,0.1002747777766017,0.6872,10000
100,am,1234,9.675872585010529,9.195431860494613,0.4804407245159149,4.965347779178017,0.46976911464304594,0.4911123343887839,0.8182,10000
100,am,4321,9.70386854248047,9.26410922293663,0.4397593195438385,4.531793867762236,0.4228933742811206,0.4566252648065564,0.7732,10000
100,am,2468,9.759301177024842,9.020376220798493,0.7389249562263489,7.571494544772445,0.7290909381809493,0.7487589742717485,0.9304,10000
100,pomo,1234,9.340703344917298,8.982709651994705,0.35799369292259214,3.8326203038810007,0.3514367048091132,0.3645506810360711,0.8581,10000
100,pomo,4321,9.264747944927215,8.851820171499252,0.4129277734279633,4.456977954311819,0.40646830366877945,0.4193872431871471,0.8945,10000
100,pomo,2468,9.276101762580872,8.858785863256454,0.4173158993244171,4.498828387241712,0.41081525502313027,0.4238165436257039,0.895,10000
