family,seed,original_mean,groupopt_mean,relative_improvement_percent,paired_ci95_low,paired_ci95_high,groupopt_win_rate
am,1234,6.77163933196,6.28508408656,7.185191,0.47830841,0.49480209,0.8801
am,4321,6.70935622687,6.33744630003,5.543154,0.36311942,0.38070043,0.7966
am,2468,6.76707348852,6.34676433210,6.211092,0.41096318,0.42965513,0.8272
ptrnet,1234,7.47973462849,6.64863469343,11.111356,0.82287004,0.83932983,0.9767
ptrnet,4321,7.44234226642,6.53229121966,12.228019,0.90185628,0.91824581,0.9842
ptrnet,2468,7.47115836701,6.59943991303,11.667782,0.86328443,0.88015248,0.9789
gpn,1234,6.45207010241,6.32729475365,1.933881,0.11767402,0.13187668,0.6363
gpn,4321,6.45461841755,6.29178667469,2.522717,0.15579789,0.16986559,0.6723
gpn,2468,6.47867648311,6.37695209765,1.570141,0.09433519,0.10911358,0.6055
pomo,1234,6.17049284534,6.14459115100,0.419767,0.02135568,0.03044771,0.5485
pomo,4321,6.30841582727,6.14407543545,2.605098,0.15947689,0.16920389,0.7505
pomo,2468,6.34937011962,6.11451424437,3.698885,0.22994761,0.23976414,0.8268
